id,pkg,github,split,file,qualname,rule_first,ver_first,ver_last,n_versions_observed,label,days_span,fixed_ver_before,fixed_ver_after,signals_added,attribution_status,attributed_pr,attributed_commit_url,commits_in_window
deepteam:0.2.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/domain_validation/domain_validation.py:DomainValidationMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/domain_validation/domain_validation.py,DomainValidationMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/domain_validation/domain_validation.py:DomainValidationMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/domain_validation/domain_validation.py,DomainValidationMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/domain_validation/domain_validation.py:DomainValidationMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/domain_validation/domain_validation.py,DomainValidationMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/domain_validation/domain_validation.py:DomainValidationMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/domain_validation/domain_validation.py,DomainValidationMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/domain_validation/domain_validation.py:DomainValidationMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/domain_validation/domain_validation.py,DomainValidationMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/domain_validation/domain_validation.py:DomainValidationMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/domain_validation/domain_validation.py,DomainValidationMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/escalation_success/escalation_success.py:EscalationSuccessMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/escalation_success/escalation_success.py,EscalationSuccessMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/escalation_success/escalation_success.py:EscalationSuccessMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/escalation_success/escalation_success.py,EscalationSuccessMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/escalation_success/escalation_success.py:EscalationSuccessMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/escalation_success/escalation_success.py,EscalationSuccessMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/escalation_success/escalation_success.py:EscalationSuccessMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/escalation_success/escalation_success.py,EscalationSuccessMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/escalation_success/escalation_success.py:EscalationSuccessMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/escalation_success/escalation_success.py,EscalationSuccessMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/escalation_success/escalation_success.py:EscalationSuccessMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/escalation_success/escalation_success.py,EscalationSuccessMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/extraction_success/extraction_success.py:ExtractionSuccessMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/extraction_success/extraction_success.py,ExtractionSuccessMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
